0,0
33.77779,1.12703
97.88117,3.2541
152.09508,5.16675
204.86001,7.20199
266.39007,9.75614
314.75264,12.16046
380.70881,15.35832
439.26173,18.63087
491.95541,22.27778
525.05226,25.16279
564.63388,29.15418
16.52467,30.92798
63.76291,32.55284
113.74074,34.26776
173.66346,36.50072
227.14892,38.64142
282.8989,41.02641
327.75385,43.17984
377.09033,45.53671
418.46931,47.93576
457.03744,50.57735
498.51143,53.23652
532.90682,56.20062
555.02945,58.64405
575.36264,61.22765
590.07411,63.44787
606.88383,65.43477
622.04662,67.71519
641.04168,70.35634
660.74935,73.24179
679.01596,75.72872
696.66498,78.37998
708.1697,80.0681
1550,280
