0,0
25.33,1.12703
73.41,3.2541
114.07,5.16675
153.65,7.20199
199.79,9.75614
236.06,12.16046
285.53,15.35832
329.45,18.63087
368.97,22.27778
393.79,25.16279
423.48,29.15418
12.39,30.92798
47.82,32.55284
85.31,34.26776
130.25,36.50072
170.36,38.64142
212.17,41.02641
245.82,43.17984
282.82,45.53671
313.85,47.93576
342.78,50.57735
373.88,53.23652
399.68,56.20062
416.27,58.64405
431.52,61.22765
442.56,63.44787
455.16,65.43477
466.53,67.71519
480.78,70.35634
495.56,73.24179
509.26,75.72872
522.5,78.37998
531.13,80.0681
1550,280
